,FXE,FXE,FXE,FXE,FXE,FXE,FXF,FXF,FXF,FXF,FXF,FXF,FXY,FXY,FXY,FXY,FXY,FXY,GBTC,GBTC,GBTC,GBTC,GBTC,GBTC
,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-12,106.12007904052734,119.55999755859375,119.8499984741211,119.4800033569336,119.62000274658203,601000,,,,,,,,,,,,,,,,,,
2005-12-13,106.1112060546875,119.55000305175781,119.9000015258789,119.30000305175781,119.38999938964844,155100,,,,,,,,,,,,,,,,,,
2005-12-14,106.5993881225586,120.0999984741211,120.58000183105469,120.02999877929688,120.43000030517578,441400,,,,,,,,,,,,,,,,,,
2005-12-15,106.29757690429688,119.76000213623047,120.06999969482422,119.44999694824219,119.98999786376953,562400,,,,,,,,,,,,,,,,,,
2005-12-16,106.70587158203125,120.22000122070312,120.2300033569336,119.9800033569336,119.9800033569336,281600,,,,,,,,,,,,,,,,,,
2005-12-19,106.63488006591797,120.13999938964844,120.19999694824219,119.94999694824219,119.97000122070312,48200,,,,,,,,,,,,,,,,,,
2005-12-20,105.3833999633789,118.7300033569336,119.31999969482422,118.5,119.31999969482422,126600,,,,,,,,,,,,,,,,,,
2005-12-21,105.1348648071289,118.44999694824219,118.52999877929688,118.12999725341797,118.4800033569336,468800,,,,,,,,,,,,,,,,,,
2005-12-22,105.50767517089844,118.87000274658203,119.05000305175781,118.69999694824219,118.69999694824219,268900,,,,,,,,,,,,,,,,,,
2005-12-23,105.50767517089844,118.87000274658203,118.87999725341797,118.54000091552734,118.55000305175781,3400,,,,,,,,,,,,,,,,,,
2005-12-27,105.17033386230469,118.48999786376953,118.76000213623047,118.48999786376953,118.62000274658203,53500,,,,,,,,,,,,,,,,,,
2005-12-28,105.17033386230469,118.48999786376953,119.4800033569336,118.33999633789062,119.4800033569336,5600,,,,,,,,,,,,,,,,,,
2005-12-29,105.26799011230469,118.5999984741211,118.62999725341797,118.4000015258789,118.47000122070312,94400,,,,,,,,,,,,,,,,,,
2005-12-30,105.18812561035156,118.51000213623047,118.51000213623047,117.95999908447266,117.97000122070312,94200,,,,,,,,,,,,,,,,,,
2006-01-03,106.78480529785156,120.18000030517578,120.29000091552734,119.08000183105469,119.08000183105469,118600,,,,,,,,,,,,,,,,,,
2006-01-04,107.82442474365234,121.3499984741211,121.48999786376953,120.7300033569336,120.98999786376953,227200,,,,,,,,,,,,,,,,,,
2006-01-05,107.59339141845703,121.08999633789062,121.20999908447266,120.9000015258789,120.93000030517578,264900,,,,,,,,,,,,,,,,,,
2006-01-06,108.06433868408203,121.62000274658203,121.7300033569336,121.33999633789062,121.5,145800,,,,,,,,,,,,,,,,,,
2006-01-09,107.45122528076172,120.93000030517578,120.9800033569336,120.6500015258789,120.91000366210938,111400,,,,,,,,,,,,,,,,,,
2006-01-10,107.32682037353516,120.79000091552734,120.8499984741211,120.5,120.55000305175781,85000,,,,,,,,,,,,,,,,,,
2006-01-11,107.84220123291016,121.37000274658203,121.54000091552734,121.08000183105469,121.12999725341797,184900,,,,,,,,,,,,,,,,,,
2006-01-12,107.02471923828125,120.44999694824219,120.51000213623047,120.19999694824219,120.37999725341797,225000,,,,,,,,,,,,,,,,,,
2006-01-13,107.91325378417969,121.44999694824219,121.55999755859375,120.62000274658203,120.62000274658203,66700,,,,,,,,,,,,,,,,,,
2006-01-17,107.65557861328125,121.16000366210938,121.18000030517578,120.66999816894531,120.80000305175781,76700,,,,,,,,,,,,,,,,,,
2006-01-18,107.6911392211914,121.19999694824219,121.73999786376953,120.8499984741211,121.58999633789062,469900,,,,,,,,,,,,,,,,,,
2006-01-19,107.5667495727539,121.05999755859375,121.30000305175781,120.80000305175781,120.80000305175781,43200,,,,,,,,,,,,,,,,,,
2006-01-20,107.93995666503906,121.4800033569336,121.51000213623047,120.86000061035156,121.16000366210938,52500,,,,,,,,,,,,,,,,,,
2006-01-23,109.45045471191406,123.18000030517578,123.19000244140625,122.79000091552734,122.9000015258789,161100,,,,,,,,,,,,,,,,,,
2006-01-24,109.21943664550781,122.91999816894531,123.08999633789062,122.80000305175781,122.86000061035156,153600,,,,,,,,,,,,,,,,,,
2006-01-25,108.90841674804688,122.56999969482422,122.94000244140625,122.5,122.94000244140625,162100,,,,,,,,,,,,,,,,,,
2006-01-26,108.6418685913086,122.2699966430664,122.70999908447266,122.18000030517578,122.61000061035156,44600,,,,,,,,,,,,,,,,,,
2006-01-27,107.6644515991211,121.16999816894531,122.41999816894531,121.05000305175781,122.33999633789062,272400,,,,,,,,,,,,,,,,,,
2006-01-30,107.5667495727539,121.05999755859375,121.1500015258789,120.87000274658203,121.08999633789062,216000,,,,,,,,,,,,,,,,,,
2006-01-31,108.17986297607422,121.75,122.05999755859375,121.3499984741211,121.3499984741211,467300,,,,,,,,,,,,,,,,,,
2006-02-01,107.38166809082031,120.68000030517578,121.19000244140625,120.61000061035156,121.0,133100,,,,,,,,,,,,,,,,,,
2006-02-02,107.66642761230469,121.0,121.0999984741211,120.55999755859375,120.66000366210938,54100,,,,,,,,,,,,,,,,,,
2006-02-03,107.01685333251953,120.2699966430664,120.30000305175781,119.87999725341797,119.88999938964844,243700,,,,,,,,,,,,,,,,,,
2006-02-06,106.46514892578125,119.6500015258789,119.91000366210938,119.5199966430664,119.79000091552734,151500,,,,,,,,,,,,,,,,,,
2006-02-07,106.54524993896484,119.73999786376953,119.94000244140625,119.5,119.91000366210938,190500,,,,,,,,,,,,,,,,,,
2006-02-08,106.45626831054688,119.63999938964844,119.72000122070312,119.36000061035156,119.66000366210938,196800,,,,,,,,,,,,,,,,,,
2006-02-09,106.72320556640625,119.94000244140625,119.95999908447266,119.55999755859375,119.91000366210938,26300,,,,,,,,,,,,,,,,,,
2006-02-10,105.97577667236328,119.0999984741211,120.31999969482422,119.02999877929688,120.29000091552734,259000,,,,,,,,,,,,,,,,,,
2006-02-13,106.02915954589844,119.16000366210938,119.2300033569336,119.0,119.06999969482422,49000,,,,,,,,,,,,,,,,,,
2006-02-14,106.12705993652344,119.2699966430664,119.30000305175781,118.80999755859375,118.83000183105469,69300,,,,,,,,,,,,,,,,,,
2006-02-15,105.85120391845703,118.95999908447266,119.61000061035156,118.88999938964844,119.44999694824219,22800,,,,,,,,,,,,,,,,,,
2006-02-16,105.94017791748047,119.05999755859375,119.05999755859375,118.83000183105469,118.87000274658203,145800,,,,,,,,,,,,,,,,,,
2006-02-17,106.30498504638672,119.47000122070312,119.55000305175781,118.91000366210938,118.91000366210938,184400,,,,,,,,,,,,,,,,,,
2006-02-21,106.1626205444336,119.30999755859375,119.41999816894531,119.05000305175781,119.19999694824219,56400,,,,,,,,,,,,,,,,,,
2006-02-22,106.0647964477539,119.19999694824219,119.30999755859375,118.94999694824219,119.04000091552734,23400,,,,,,,,,,,,,,,,,,
2006-02-23,106.15373992919922,119.30000305175781,119.62000274658203,119.2699966430664,119.62000274658203,26100,,,,,,,,,,,,,,,,,,
2006-02-24,105.72662353515625,118.81999969482422,119.16999816894531,118.81999969482422,119.13999938964844,116300,,,,,,,,,,,,,,,,,,
2006-02-27,105.5753402709961,118.6500015258789,118.81999969482422,118.58000183105469,118.69000244140625,45400,,,,,,,,,,,,,,,,,,
2006-02-28,106.24272155761719,119.4000015258789,119.54000091552734,118.94999694824219,118.9800033569336,150800,,,,,,,,,,,,,,,,,,
2006-03-01,106.2035140991211,119.19999694824219,119.63999938964844,119.0,119.63999938964844,73300,,,,,,,,,,,,,,,,,,
2006-03-02,107.3350830078125,120.47000122070312,120.48999786376953,119.43000030517578,119.45999908447266,327700,,,,,,,,,,,,,,,,,,
2006-03-03,107.29938507080078,120.43000030517578,120.55000305175781,120.08000183105469,120.55000305175781,156200,,,,,,,,,,,,,,,,,,
2006-03-06,107.14791870117188,120.26000213623047,120.37999725341797,120.0,120.29000091552734,73200,,,,,,,,,,,,,,,,,,
2006-03-07,105.97184753417969,118.94000244140625,119.18000030517578,118.80000305175781,119.12999725341797,1895300,,,,,,,,,,,,,,,,,,
2006-03-08,106.35498046875,119.37000274658203,119.47000122070312,119.12999725341797,119.25,913800,,,,,,,,,,,,,,,,,,
2006-03-09,106.26591491699219,119.2699966430664,119.41000366210938,119.18000030517578,119.41000366210938,748300,,,,,,,,,,,,,,,,,,
2006-03-10,106.31044006347656,119.31999969482422,119.31999969482422,118.79000091552734,118.87000274658203,25400,,,,,,,,,,,,,,,,,,
2006-03-13,106.68462371826172,119.73999786376953,119.80999755859375,119.4000015258789,119.4000015258789,25400,,,,,,,,,,,,,,,,,,
2006-03-14,107.18360900878906,120.30000305175781,120.44999694824219,119.81999969482422,119.81999969482422,189700,,,,,,,,,,,,,,,,,,
2006-03-15,107.6825180053711,120.86000061035156,120.91000366210938,120.52999877929688,120.70999908447266,59800,,,,,,,,,,,,,,,,,,
2006-03-16,108.63585662841797,121.93000030517578,122.05000305175781,121.38999938964844,121.38999938964844,50000,,,,,,,,,,,,,,,,,,
2006-03-17,108.82296752929688,122.13999938964844,122.25,121.62000274658203,121.97000122070312,102400,,,,,,,,,,,,,,,,,,
2006-03-20,108.58238220214844,121.87000274658203,121.9800033569336,121.69000244140625,121.88999938964844,67900,,,,,,,,,,,,,,,,,,
2006-03-21,107.86962890625,121.06999969482422,121.45999908447266,120.97000122070312,121.45999908447266,191000,,,,,,,,,,,,,,,,,,
2006-03-22,107.7983627319336,120.98999786376953,121.29000091552734,120.95999908447266,121.16999816894531,59900,,,,,,,,,,,,,,,,,,
2006-03-23,106.8984603881836,119.9800033569336,120.87000274658203,119.83000183105469,120.87000274658203,129800,,,,,,,,,,,,,,,,,,
2006-03-24,107.44197845458984,120.58999633789062,120.70999908447266,119.95999908447266,120.04000091552734,114400,,,,,,,,,,,,,,,,,,
2006-03-27,107.21031951904297,120.33000183105469,120.5999984741211,120.30999755859375,120.54000091552734,49700,,,,,,,,,,,,,,,,,,
2006-03-28,107.21031951904297,120.33000183105469,121.16000366210938,120.2300033569336,121.13999938964844,181400,,,,,,,,,,,,,,,,,,
2006-03-29,107.45979309082031,120.61000061035156,120.7300033569336,120.22000122070312,120.22000122070312,51700,,,,,,,,,,,,,,,,,,
2006-03-30,108.5913314819336,121.87999725341797,121.91999816894531,121.4000015258789,121.54000091552734,66200,,,,,,,,,,,,,,,,,,
2006-03-31,108.21711730957031,121.45999908447266,121.69000244140625,121.25,121.3499984741211,30900,,,,,,,,,,,,,,,,,,
2006-04-03,108.41609954833984,121.48999786376953,121.55000305175781,120.5,120.54000091552734,76600,,,,,,,,,,,,,,,,,,
2006-04-04,109.50482940673828,122.70999908447266,122.83000183105469,122.5,122.5,133300,,,,,,,,,,,,,,,,,,
2006-04-05,109.76362609863281,123.0,123.19999694824219,122.75,122.95999908447266,241000,,,,,,,,,,,,,,,,,,
2006-04-06,109.22815704345703,122.4000015258789,122.54000091552734,122.12999725341797,122.30999755859375,99300,,,,,,,,,,,,,,,,,,
2006-04-07,108.09486389160156,121.12999725341797,121.77999877929688,121.08000183105469,121.77999877929688,96000,,,,,,,,,,,,,,,,,,
2006-04-10,108.1126937866211,121.1500015258789,121.3499984741211,120.91000366210938,121.16000366210938,112800,,,,,,,,,,,,,,,,,,
2006-04-11,108.57676696777344,121.66999816894531,121.69999694824219,121.37999725341797,121.37999725341797,97900,,,,,,,,,,,,,,,,,,
2006-04-12,108.14838409423828,121.19000244140625,121.45999908447266,121.12000274658203,121.23999786376953,82200,,,,,,,,,,,,,,,,,,
2006-04-13,108.2376480102539,121.29000091552734,121.30999755859375,120.95999908447266,121.01000213623047,41500,,,,,,,,,,,,,,,,,,
2006-04-17,109.50482940673828,122.70999908447266,123.04000091552734,122.44999694824219,122.51000213623047,219700,,,,,,,,,,,,,,,,,,
2006-04-18,110.07596588134766,123.3499984741211,123.36000061035156,122.8499984741211,123.0199966430664,227600,,,,,,,,,,,,,,,,,,
2006-04-19,110.73631286621094,124.08999633789062,124.16000366210938,123.18000030517578,123.19999694824219,116400,,,,,,,,,,,,,,,,,,
2006-04-20,110.16519927978516,123.44999694824219,123.61000061035156,123.12000274658203,123.45999908447266,95300,,,,,,,,,,,,,,,,,,
2006-04-21,110.37935638427734,123.69000244140625,123.80000305175781,123.33000183105469,123.44000244140625,79200,,,,,,,,,,,,,,,,,,
2006-04-24,110.95048522949219,124.33000183105469,124.38999938964844,123.56999969482422,123.81999969482422,129700,,,,,,,,,,,,,,,,,,
2006-04-25,111.15573120117188,124.55999755859375,124.6500015258789,123.9000015258789,124.5199966430664,72800,,,,,,,,,,,,,,,,,,
2006-04-26,111.36988067626953,124.80000305175781,124.97000122070312,124.47000122070312,124.5999984741211,130200,,,,,,,,,,,,,,,,,,
2006-04-27,112.09274291992188,125.61000061035156,125.7300033569336,124.58000183105469,124.68000030517578,157400,,,,,,,,,,,,,,,,,,
2006-04-28,112.9851303100586,126.61000061035156,126.61000061035156,125.83000183105469,125.8499984741211,108500,,,,,,,,,,,,,,,,,,
2006-05-01,112.56233215332031,125.93000030517578,126.91999816894531,125.61000061035156,126.80999755859375,294600,,,,,,,,,,,,,,,,,,
2006-05-02,112.91986846923828,126.33000183105469,126.58000183105469,126.16999816894531,126.4000015258789,125600,,,,,,,,,,,,,,,,,,
2006-05-03,112.97354888916016,126.38999938964844,126.72000122070312,126.05000305175781,126.36000061035156,87300,,,,,,,,,,,,,,,,,,
2006-05-04,113.71542358398438,127.22000122070312,127.3499984741211,126.4000015258789,126.41000366210938,98200,,,,,,,,,,,,,,,,,,
2006-05-05,113.90312194824219,127.43000030517578,127.72000122070312,127.33999633789062,127.72000122070312,105900,,,,,,,,,,,,,,,,,,
2006-05-08,113.70646667480469,127.20999908447266,127.61000061035156,127.05000305175781,127.58999633789062,146900,,,,,,,,,,,,,,,,,,
2006-05-09,114.05506134033203,127.5999984741211,127.94000244140625,127.36000061035156,127.4000015258789,246500,,,,,,,,,,,,,,,,,,
2006-05-10,114.40363311767578,127.98999786376953,128.4199981689453,127.77999877929688,127.87999725341797,329400,,,,,,,,,,,,,,,,,,
2006-05-11,114.88636779785156,128.52999877929688,128.8000030517578,127.55999755859375,127.69000244140625,236700,,,,,,,,,,,,,,,,,,
2006-05-12,115.69971466064453,129.44000244140625,129.4600067138672,128.6999969482422,129.17999267578125,373500,,,,,,,,,,,,,,,,,,
2006-05-15,114.41260528564453,128.0,128.6199951171875,127.9800033569336,128.3000030517578,442800,,,,,,,,,,,,,,,,,,
2006-05-16,115.05616760253906,128.72000122070312,128.77999877929688,128.27000427246094,128.72000122070312,121400,,,,,,,,,,,,,,,,,,
2006-05-17,114.13554382324219,127.69000244140625,128.72999572753906,127.2300033569336,128.7100067138672,188200,,,,,,,,,,,,,,,,,,
2006-05-18,114.7790756225586,128.41000366210938,128.50999450683594,127.97000122070312,128.1699981689453,155100,,,,,,,,,,,,,,,,,,
2006-05-19,114.35005187988281,127.93000030517578,127.94999694824219,127.19000244140625,127.63999938964844,145000,,,,,,,,,,,,,,,,,,
2006-05-22,115.22599029541016,128.91000366210938,129.02999877929688,127.75,127.79000091552734,122500,,,,,,,,,,,,,,,,,,
2006-05-23,115.09193420410156,128.75999450683594,128.92999267578125,128.25999450683594,128.3000030517578,54400,,,,,,,,,,,,,,,,,,
