,IYR,IYR,IYR,IYR,IYR,IYR,VNQ,VNQ,VNQ,VNQ,VNQ,VNQ
,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume
Date,,,,,,,,,,,,
2000-06-19,13.375532150268555,35.03125,35.03125,35.03125,35.03125,200,,,,,,
2000-06-20,13.43221378326416,35.1796875,35.1796875,35.125,35.125,400,,,,,,
2000-06-21,13.49783706665039,35.3515625,35.390625,35.3515625,35.390625,20600,,,,,,
2000-06-22,13.503804206848145,35.3671875,35.3671875,35.3671875,35.3671875,400,,,,,,
2000-06-23,13.503804206848145,35.3671875,35.3671875,35.3671875,35.3671875,0,,,,,,
2000-06-26,13.315878868103027,34.875,35.125,34.875,35.125,2000,,,,,,
2000-06-27,13.506784439086914,35.375,35.375,35.359375,35.359375,2600,,,,,,
2000-06-28,13.506784439086914,35.375,35.375,35.375,35.375,0,,,,,,
2000-06-29,13.506784439086914,35.375,35.375,35.375,35.375,0,,,,,,
2000-06-30,13.506784439086914,35.375,35.8125,35.375,35.796875,2800,,,,,,
2000-07-03,13.584342956542969,35.578125,35.578125,35.421875,35.421875,45400,,,,,,
2000-07-05,13.709630012512207,35.90625,35.90625,35.59375,35.625,32600,,,,,,
2000-07-06,13.751391410827637,36.015625,36.125,35.75,35.75,6600,,,,,,
2000-07-07,13.852803230285645,36.28125,36.390625,36.109375,36.109375,8400,,,,,,
2000-07-10,13.840880393981934,36.25,36.375,36.25,36.359375,10400,,,,,,
2000-07-11,13.834912300109863,36.234375,36.234375,36.234375,36.234375,200,,,,,,
2000-07-12,13.769289016723633,36.0625,36.25,36.0625,36.25,8800,,,,,,
2000-07-13,13.757352828979492,36.03125,36.03125,36.03125,36.03125,4000,,,,,,
2000-07-14,13.727522850036621,35.953125,36.03125,35.953125,36.0,58000,,,,,,
2000-07-17,13.787186622619629,36.109375,36.109375,36.109375,36.109375,1200,,,,,,
2000-07-18,13.828949928283691,36.21875,36.21875,36.21875,36.21875,400,,,,,,
2000-07-19,13.780800819396973,35.78125,35.875,35.625,35.734375,98400,,,,,,
2000-07-20,13.798857688903809,35.828125,35.90625,35.828125,35.90625,2200,,,,,,
2000-07-21,13.99744701385498,36.34375,36.375,36.3125,36.328125,3000,,,,,,
2000-07-24,14.111788749694824,36.640625,36.640625,36.4375,36.5,5200,,,,,,
2000-07-25,14.105768203735352,36.625,36.65625,36.625,36.65625,5600,,,,,,
2000-07-26,14.307357788085938,37.1484375,37.1484375,36.75,36.75,11200,,,,,,
2000-07-27,14.46683406829834,37.5625,37.59375,37.203125,37.203125,121200,,,,,,
2000-07-28,14.463824272155762,37.5546875,37.59375,37.5546875,37.5546875,3200,,,,,,
2000-07-31,14.364533424377441,37.296875,37.625,37.21875,37.625,78800,,,,,,
2000-08-01,14.668436050415039,38.0859375,38.0859375,37.65625,37.6875,420400,,,,,,
2000-08-02,14.69550895690918,38.15625,38.171875,38.109375,38.171875,13800,,,,,,
2000-08-03,14.587183952331543,37.875,38.0625,37.6640625,38.0625,41800,,,,,,
2000-08-04,14.358515739440918,37.28125,37.546875,37.09375,37.546875,175200,,,,,,
2000-08-07,14.358515739440918,37.28125,37.546875,37.25,37.421875,63800,,,,,,
2000-08-08,14.382584571838379,37.34375,37.40625,37.125,37.125,159800,,,,,,
2000-08-09,14.394624710083008,37.375,37.46875,37.359375,37.46875,3800,,,,,,
2000-08-10,14.46683406829834,37.5625,37.609375,37.4609375,37.5625,10400,,,,,,
2000-08-11,14.4909086227417,37.625,37.671875,37.5625,37.578125,23600,,,,,,
2000-08-14,14.527009010314941,37.71875,37.71875,37.5625,37.5625,600,,,,,,
2000-08-15,14.44276237487793,37.5,37.625,37.5,37.5625,17400,,,,,,
2000-08-16,14.4909086227417,37.625,37.703125,37.5,37.5,13400,,,,,,
2000-08-17,14.51196002960205,37.6796875,37.734375,37.6796875,37.734375,3600,,,,,,
2000-08-18,14.382584571838379,37.34375,37.625,37.34375,37.625,59000,,,,,,
2000-08-21,14.328421592712402,37.203125,37.421875,37.203125,37.421875,160400,,,,,,
2000-08-22,14.3705415725708,37.3125,37.4375,37.25,37.296875,57400,,,,,,
2000-08-23,14.214085578918457,36.90625,37.3203125,36.90625,37.3125,86400,,,,,,
2000-08-24,14.114795684814453,36.6484375,36.9296875,36.6484375,36.90625,90800,,,,,,
2000-08-25,14.09372615814209,36.59375,36.765625,36.578125,36.765625,9800,,,,,,
2000-08-28,14.114795684814453,36.6484375,36.8203125,36.578125,36.578125,8200,,,,,,
2000-08-29,13.985408782958984,36.3125,36.5,36.296875,36.5,9800,,,,,,
2000-08-30,14.057625770568848,36.5,36.5,36.25,36.25,2200,,,,,,
2000-08-31,14.147889137268066,36.734375,36.734375,36.640625,36.640625,1000,,,,,,
2000-09-01,14.063641548156738,36.515625,36.7109375,36.515625,36.515625,41600,,,,,,
2000-09-05,14.153908729553223,36.75,36.8125,36.59375,36.65625,544200,,,,,,
2000-09-06,14.265236854553223,37.0390625,37.046875,36.71875,36.75,255400,,,,,,
2000-09-07,14.25019645690918,37.0,37.0,36.90625,36.90625,72200,,,,,,
2000-09-08,14.52099323272705,37.703125,37.703125,37.171875,37.171875,167600,,,,,,
2000-09-11,14.605240821838379,37.921875,38.03125,37.78125,37.84375,9200,,,,,,
2000-09-12,14.671442985534668,38.09375,38.109375,37.84375,37.84375,20200,,,,,,
2000-09-13,14.635337829589844,38.0,38.15625,37.84375,38.15625,3800,,,,,,
2000-09-14,14.611263275146484,37.9375,38.09375,37.890625,38.03125,15000,,,,,,
2000-09-15,14.623298645019531,37.96875,38.0078125,37.84375,38.0078125,2400,,,,,,
2000-09-18,14.424713134765625,37.453125,37.65625,37.453125,37.625,9800,,,,,,
2000-09-19,14.469842910766602,37.5703125,37.5703125,37.296875,37.3359375,9200,,,,,,
2000-09-20,14.44276237487793,37.5,37.71875,37.5,37.71875,10800,,,,,,
2000-09-21,14.430729866027832,37.46875,37.53125,37.3359375,37.53125,1200,,,,,,
2000-09-22,14.430729866027832,37.46875,37.46875,37.0,37.0,53800,,,,,,
2000-09-25,14.413875579833984,37.42499923706055,37.57500076293945,37.42499923706055,37.57500076293945,5200,,,,,,
2000-09-26,14.47164535522461,37.57500076293945,37.57500076293945,37.42499923706055,37.5,5400,,,,,,
2000-09-27,14.558306694030762,37.79999923706055,37.79999923706055,37.5,37.625,1600,,,,,,
2000-09-28,14.61607837677002,37.95000076293945,38.07500076293945,37.95000076293945,38.07500076293945,2000,,,,,,
2000-09-29,14.587183952331543,37.875,38.17499923706055,37.875,38.17499923706055,196400,,,,,,
2000-10-02,14.45238971710205,37.525001525878906,37.900001525878906,37.474998474121094,37.900001525878906,10200,,,,,,
2000-10-03,14.269454956054688,37.04999923706055,37.29999923706055,37.025001525878906,37.29999923706055,3200,,,,,,
2000-10-04,14.067245483398438,36.525001525878906,36.685001373291016,36.525001525878906,36.685001373291016,21800,,,,,,
2000-10-05,14.134645462036133,36.70000076293945,36.70000076293945,36.625,36.625,1200,,,,,,
2000-10-06,14.105768203735352,36.625,36.724998474121094,36.599998474121094,36.724998474121094,2400,,,,,,
2000-10-09,14.096135139465332,36.599998474121094,36.625,36.400001525878906,36.625,64000,,,,,,
2000-10-10,14.105768203735352,36.625,36.625,36.5,36.625,4200,,,,,,
2000-10-11,13.999853134155273,36.349998474121094,36.5,36.17499923706055,36.5,2000,,,,,,
2000-10-12,13.77839183807373,35.775001525878906,36.125,35.724998474121094,36.125,11000,,,,,,
2000-10-13,13.807282447814941,35.849998474121094,35.849998474121094,35.625,35.650001525878906,2200,,,,,,
2000-10-16,13.980594635009766,36.29999923706055,36.29999923706055,35.92499923706055,35.92499923706055,8200,,,,,,
2000-10-17,13.788026809692383,35.79999923706055,36.275001525878906,35.625,36.275001525878906,29200,,,,,,
2000-10-18,13.723846435546875,35.17499923706055,35.20000076293945,34.994998931884766,35.025001525878906,41000,,,,,,
2000-10-19,13.831136703491211,35.45000076293945,35.45000076293945,35.275001525878906,35.400001525878906,2000,,,,,,
2000-10-20,13.782362937927246,35.32500076293945,35.32500076293945,35.32500076293945,35.32500076293945,800,,,,,,
2000-10-23,13.675071716308594,35.04999923706055,35.224998474121094,35.04999923706055,35.125,5800,,,,,,
2000-10-24,13.55802059173584,34.75,34.849998474121094,34.75,34.849998474121094,100000,,,,,,
2000-10-25,13.509257316589355,34.625,34.775001525878906,34.625,34.67499923706055,13400,,,,,,
2000-10-26,13.548270225524902,34.724998474121094,34.75,34.525001525878906,34.54999923706055,2800,,,,,,
2000-10-27,13.714091300964355,35.150001525878906,35.375,34.79999923706055,34.82500076293945,310800,,,,,,
2000-10-30,13.782362937927246,35.32500076293945,35.349998474121094,35.17499923706055,35.224998474121094,5200,,,,,,
